,CURRENT FREGUESIAS,PUBLIC LIGHTS,HEALTH CENTER,POLICE,TOTAL RESIDENTS,AREA,DENSITY,COST OF LIVING,PUBLIC LIGHTS P.P. and KM2,HEALTH CENTER P.P. and KM2,POLICE P.P. and KM2,POINT PUBLIC LIGHTS,POINT HEALTH CENTER,POINT POLICE,TOTAL POINTS SI
0,SANTO ANTÓNIO,1573,4.0,4.0,11855,1494348.58,126.05217882749895,386.26,12.478959226501223,0.03173289059504443,0.03173289059504443,3,3,10,16.0
1,MARVILA,4386,7.0,2.0,38102,7122521.9,186.93301926408063,212.79,23.462949548810794,0.03744656790735877,0.010699019402102505,6,4,4,14.0
2,AJUDA,1873,2.0,1.0,15584,2876647.11,184.5897786190965,271.61,10.146824022498889,0.010834836115855727,0.005417418057927863,2,2,2,6.0
3,AREEIRO,1975,2.0,1.0,20131,1719002.47,85.3908136704585,410.26,23.128951641355115,0.023421723181119104,0.011710861590559552,6,3,4,13.0
4,SANTA MARIA MAIOR,2071,15.0,3.0,12961,3011591.52,232.357960033948,273.2,8.912972035463827,0.06455556761562405,0.01291111352312481,2,7,5,14.0
5,ALVALADE,3881,8.0,0.0,31110,5341751.02,171.70527225972356,381.83,22.602683941641295,0.04659146393535953,0.0,6,5,1,12.0
6,BELÉM,2965,5.0,4.0,16561,10426948.88,629.6086516514704,431.9,4.709274550504941,0.007941441063246105,0.0063531528505968845,1,1,2,4.0
7,ESTRELA,2167,9.0,2.0,20116,4604095.97,228.8773101014118,376.04,9.467954682968957,0.03932237754809442,0.00873830612179876,2,4,3,9.0
8,ARROIOS,2005,7.0,1.0,32262,2127871.88,65.95598165023867,372.8,30.399062372119886,0.10613138982784998,0.015161627118264282,9,10,5,24.0
9,SANTA CLARA,2469,0.0,0.0,9935,3355562.58,337.75164368394564,280.87,7.3101050614290735,0.0,0.0,1,1,1,3.0
10,AVENIDAS NOVAS,3035,9.0,0.0,21625,2994523.99,138.47509780346823,421.45,21.917298114549414,0.06499363526555016,0.0,6,7,1,14.0
11,CARNIDE,2166,1.0,4.0,23316,3688827.32,158.21012695144964,317.42,13.690653321229469,0.006320707904538075,0.0252828316181523,3,1,8,12.0
12,SÃO DOMINGOS DE BENFICA,2962,3.0,0.0,33745,4294403.21,127.2604299896281,412.61,23.275106018747596,0.023573706298528965,0.0,6,3,1,10.0
13,BEATO,996,0.0,0.0,12429,2483775.04,199.8370778019149,255.74,4.984060070110053,0.0,0.0,1,1,1,3.0
14,CAMPOLIDE,2128,2.0,3.0,15460,2774372.95,179.4549126778784,325.87,11.85813176271056,0.011144860679239248,0.01671729101885887,3,2,6,11.0
15,ALCÂNTARA,1693,4.0,2.0,13943,5074843.76,363.97072079179515,308.09,4.651473053428545,0.010989894987427161,0.0054949474937135805,1,2,2,5.0
16,CAMPO DE OURIQUE,1457,2.0,1.0,22132,1651405.17,74.61617431772999,344.07,19.52659746123963,0.02680384002915529,0.013401920014577646,5,3,5,13.0
17,SÃO VICENTE,1127,2.0,0.0,14575,1985855.99,136.2508397941681,285.35,8.271508650534122,0.014678808607868892,0.0,2,2,1,5.0
18,OLIVAIS,4489,4.0,3.0,51036,8088293.95,158.48212928129163,330.69,28.324960172843372,0.025239438781771772,0.01892957908632883,8,3,6,17.0
19,MISERICÓRDIA,1606,9.0,1.0,13041,2192198.78,168.10051223065713,321.15,9.553807889629427,0.05353939664175893,0.005948821849084325,2,6,2,10.0
20,LUMIAR,5802,4.0,2.0,41163,6574930.77,159.72914437723196,428.16,36.32399098249365,0.025042392955872905,0.012521196477936453,10,3,4,17.0
21,PENHA DE FRANÇA,1540,2.0,0.0,27967,2710760.87,96.9271237529946,330.75,15.888225507696664,0.020634059100904757,0.0,4,2,1,7.0
22,BENFICA,4055,3.0,7.0,36821,8024544.82,217.9339186877054,324.95,18.6065575492667,0.013765640603649841,0.03211982807518296,5,2,10,17.0
