,COST OF LIVING,TOTAL POINTS SI,POINT PUBLIC LIGHTS,POINT HEALTH CENTER,POINT POLICE
0,386.26,16.0,3.0,3.0,10.0
1,212.79,14.0,6.0,4.0,4.0
2,271.61,6.0,2.0,2.0,2.0
3,410.26,13.0,6.0,3.0,4.0
4,273.2,14.0,2.0,7.0,5.0
5,381.83,12.0,6.0,5.0,1.0
6,431.9,4.0,1.0,1.0,2.0
7,376.04,9.0,2.0,4.0,3.0
8,372.8,24.0,9.0,10.0,5.0
9,280.87,3.0,1.0,1.0,1.0
10,421.45,14.0,6.0,7.0,1.0
11,317.42,12.0,3.0,1.0,8.0
12,412.61,10.0,6.0,3.0,1.0
13,255.74,3.0,1.0,1.0,1.0
14,325.87,11.0,3.0,2.0,6.0
15,308.09,5.0,1.0,2.0,2.0
16,344.07,13.0,5.0,3.0,5.0
17,285.35,5.0,2.0,2.0,1.0
18,330.69,17.0,8.0,3.0,6.0
19,321.15,10.0,2.0,6.0,2.0
20,428.16,17.0,10.0,3.0,4.0
21,330.75,7.0,4.0,2.0,1.0
22,324.95,17.0,5.0,2.0,10.0
